Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Bang,Do [fire]2 damage|+ [fire]1 damage per [fire]Burn.,2,attack(getstatus(FIRE) + 2| FIRE); sfx(~_fire~);,,MAX4,,RED,change_power,change_power,,_fire,,,,,,,,,,,,,,,,
Bang_upgraded,Do [fire]2 damage|+ [fire]1 damage per [fire]Burn.|Return the dice.,2,attack(getstatus(FIRE) + 2| FIRE); givedice(d); sfx(~_fire~);,,MAX4,,RED,,,,_fire,,,,,,,,,,,,,,,,
Bang_downgraded,Do [fire]2 damage|+ [fire]1 damage per [fire]Burn.,2,attack(getstatus(FIRE) + 2| FIRE); sfx(~_fire~);,,MAX2,,RED,,,,_fire,,,,,,,,,,,,,,,,
Bloop,Do [dodge]2 damage[;]|and [dodge]1 damage next turn.,2,attack(2[;] DODGE); e.setvar(~bloop~[;] e.getvar(~bloop~) + 1); sfxdamage(target[;] 2);,,MIN2,,YELLOW,change_power,decreaserange,,_damage,,,,,,,e.setvar(~bloop~[;] 0);,,if(e.getvar(~bloop~) > 0){ attack(e.getvar(~bloop~)[;] DODGE); sfxdamage(target[;] 1); } e.setvar(~bloop~[;] 0);,,,,,,,
Bloop_upgraded,Do [dodge]2 damage[;]|and [dodge]2 damage next turn.,2,attack(2[;] DODGE); e.setvar(~bloop~[;] e.getvar(~bloop~) + 1); sfxdamage(target[;] 2);,,MIN2,,YELLOW,,,,_damage,,,,,,,e.setvar(~bloop~[;] 0);,,if(e.getvar(~bloop~) > 0){ attack(e.getvar(~bloop~) * 2[;] DODGE); sfxdamage(target[;] 2); } e.setvar(~bloop~[;] 0);,,,,,,,
Candy,Heal [heal]2. If above max hp[;]|convert excess to limit.,2,if(self.maxhp - self.hp == 0) { sfx(~_cure~); if(self.limitvalue != null && self.limitmax != null) { self.limitvalue += 2; if(self.limitvalue > self.limitmax) { self.limitvalue = self.limitmax; } } } else if(self.maxhp - self.hp == 1) { sfx(~_cure~); if(self.limitvalue != null && self.limitmax != null) { self.limitvalue += 1; if(self.limitvalue > self.limitmax) { self.limitvalue = self.limitmax; } } attackself(-1);} else {  attackself(-2); sfx(~_heal~); },,NORMAL,,GREEN,change_power,change_power,,_heal,,YES,,,,,,,,,,,,,,
Candy_upgraded,Heal [heal]3. If above max hp[;]|convert excess to limit.,2,if(self.maxhp - self.hp == 0) { sfx(~_cure~); if(self.limitvalue != null && self.limitmax != null) { self.limitvalue += 3; if(self.limitvalue > self.limitmax) { self.limitvalue = self.limitmax; } } } else if(self.maxhp - self.hp == 1) { sfx(~_cure~); if(self.limitvalue != null && self.limitmax != null) { self.limitvalue += 2; if(self.limitvalue > self.limitmax) { self.limitvalue = self.limitmax; } } attackself(-1);} else if(self.maxhp - self.hp == 2) { sfx(~_cure~); if(self.limitvalue != null && self.limitmax != null) { self.limitvalue += 1; if(self.limitvalue > self.limitmax) { self.limitvalue = self.limitmax; } } attackself(-2);} else {  attackself(-3); sfx(~_heal~); },,NORMAL,,GREEN,,,,_heal,,YES,,,,,,,,,,,,,,
Candy_downgraded,Heal [heal]1. If above max hp[;]|convert excess to limit.,2,if(self.maxhp - self.hp == 0) { sfx(~_cure~); if(self.limitvalue != null && self.limitmax != null) { self.limitvalue += 1; if(self.limitvalue > self.limitmax) { self.limitvalue = self.limitmax; } } } else {  attackself(-1); sfx(~_heal~); },,NORMAL,,GREEN,,,,_heal,,YES,,,,,,,,,,,,,,
Ouch,Do [sword]3 damage[;]|take [sword]1 damage,2,attack(3); attackself(1);,,NORMAL,,RED,change_power,change_power,,_damage,,,,,,,,,,,,,,,,
Ouch_upgraded,Do [sword]4 damage[;]|take [sword]1 damage,2,attack(4); attackself(1);,,NORMAL,,RED,,,,_damage,,,,,,,,,,,,,,,,
Ouch_downgraded,Do [sword]3 damage[;]|take [sword]2 damage,2,attack(3); attackself(2);,,NORMAL,,RED,,,,_damage,,,,,,,,,,,,,,,,
Plink,Do [sword]4 piercing damage[;]|inflict [shield]1 shield,2,pierceattack(4); inflict(SHIELD); sfx(~_shield~);,,MIN3,,YELLOW,change_power,change_power,,_damage,,,,,,,,,,,,,,,,
Plink_upgraded,Do [sword]5 piercing damage[;]|inflict [shield]1 shield,2,pierceattack(5); inflict(SHIELD); sfx(~_shield~);,,MIN3,,YELLOW,,,,_damage,,,,,,,,,,,,,,,,
Plink_downgraded,Do [sword]4 piercing damage[;]|inflict [shield]2 shield,2,pierceattack(4); inflict(SHIELD|2); sfx(~_shield~);,,MIN3,,YELLOW,,,,_damage,,,,,,,,,,,,,,,,
Expired Sweets,Gain [heal]3 health|but also [poison]1 poison,2,pierceattackself(-3); inflictself(POISON); sfx(~_poison~);,,NORMAL,,GREEN,change_power,change_power,,_heal,,YES,,,,,,,,,,,,,,
Expired Sweets_upgraded,Gain [heal]4 health|but also [poison]1 poison,2,pierceattackself(-4); inflictself(POISON); sfx(~_poison~);,,NORMAL,,GREEN,,,,_heal,,YES,,,,,,,,,,,,,,
Expired Sweets_downgraded,Gain [heal]3 health|but also [poison]2 poison,2,pierceattackself(-3); inflictself(POISON|2); sfx(~_poison~);,,NORMAL,,GREEN,,,,_heal,,YES,,,,,,,,,,,,,,
Terrible Deck,4 Ouches[;] 3 Plinks|and 2 Expired Sweets|Finale Card: Final Guard,2,,,,,GRAY,,,,,,,,excludefromrandomlists|finale,,,,var deleteindex = -1; for(i in 0...Deck.getcards(~all~).length) if(Deck.getcards(~all~)[i].equipment == e) {Deck.getcards(~all~)[i].equipment = new elements.Equipment(~Final Guard~);} addjestercard(~ouch~); addjestercard(~ouch~); addjestercard(~ouch~); addjestercard(~ouch~); addjestercard(~plink~); addjestercard(~plink~); addjestercard(~plink~); addjestercard(~expired sweets~); addjestercard(~expired sweets~);,,,,,,,,
Ping,In [jinx]1 turn[;] do [sword]3 dmg,2, jinx(~Ping~|~Deal [sword]3 damage~|~Deal [sword]3 damage~|~sfx(\~_blind\~|\~\~|0.2); attack(3); sfxdamage(null|3);~|target|self|1|3); sfx(~_thinghappens~);,,NORMAL,,PURPLE,change_power,change_power,,,,,,,,,,,,,,,,,,
Ping_upgraded,In [jinx]1 turn[;] do [sword]3 dmg|return this dice,2, jinx(~Ping~|~Deal [sword]3 damage~|~Deal [sword]3 damage~|~sfx(\~_blind\~|\~\~|0.2); attack(3); sfxdamage(null|3);~|target|self|1|3); sfx(~_thinghappens~); givedice(d);,,NORMAL,,PURPLE,,,,,,,,,,,,,,,,,,,,
Ping_downgraded,In [jinx]1 turn[;] do [sword]3 dmg,2, jinx(~Ping~|~Deal [sword]3 damage~|~Deal [sword]3 damage~|~sfx(\~_blind\~|\~\~|0.2); attack(3); sfxdamage(null|3);~|target|self|1|3); sfx(~_thinghappens~);,,MIN4,,PURPLE,,,,,,,,,,,,,,,,,,,,
Boom,In [jinx]2 turns[;] do [sword]5 dmg[;]|lower jinx counts by 2|on snap,2, jinx(~Boom~|~Deal [sword]5 damage~|~Deal [sword]5 damage~|~sfx(\~_fire\~|\~\~|0.1); sfx(\~_magic\~|\~\~|0.1); sfx(\~_dodge\~|\~\~|0.1); attack(5); sfxdamage(null|5);~|target|self|2|5); sfx(~_thinghappens~);,,MIN3,,PURPLE,change_power,change_power,,,,,,,,,,,,,,,,if (snap >=2) boostjinxcountdowns(self| 2); boostjinxcountdowns(target| 2);,,
Boom_upgraded,In [jinx]2 turns[;] do [sword]7 dmg[;]|lower jinx counts by 2|on snap,2, jinx(~Boom~|~Deal [sword]7 damage~|~Deal [sword]7 damage~|~sfx(\~_fire\~|\~\~|0.1); sfx(\~_magic\~|\~\~|0.1); sfx(\~_dodge\~|\~\~|0.1); sfx(\~_fire\~|\~\~|0.2); sfx(\~_magic\~|\~\~|0.2); sfx(\~_dodge\~|\~\~|0.2); attack(7); sfxdamage(null|7);~|target|self|2|7); sfx(~_thinghappens~);,,MIN3,,PURPLE,,,,,,,,,,,,,,,,,,if (snap >=2) attack(4); if (snap >=2) boostjinxcountdowns(self| 2); boostjinxcountdowns(target| 2);,,
Boom_downgraded,In [jinx]2 turns[;] do [sword]3 dmg[;]|lower jinx counts by 2|on snap,2, jinx(~Boom~|~Deal [sword]3 damage~|~Deal [sword]3 damage~|~sfx(\~_fire\~|\~\~|0.1); attack(3); sfxdamage(null|3);~|target|self|2|3); sfx(~_thinghappens~);,,MIN3,,PURPLE,,,,,,,,,,,,,,,,,,if (snap >=2) attack(1); if (snap >=2) boostjinxcountdowns(self| 2); boostjinxcountdowns(target| 2);,,
ClairVoyant Deck,3 Pings[;] 2 Concentrations[;]|2 Booms and 2 Hijinxes|Finale Card: Jinxploit,2,,,,,PURPLE,,,,,,,,excludefromrandomlists|finale,,,,var deleteindex = -1; for(i in 0...Deck.getcards(~all~).length) if(Deck.getcards(~all~)[i].equipment == e) {Deck.getcards(~all~)[i].equipment = new elements.Equipment(~Jinxploit~);} addjestercard(~ping~); addjestercard(~ping~); addjestercard(~ping~); addjestercard(~boom~); addjestercard(~boom~); addjestercard(~concentration~); addjestercard(~concentration~); addjestercard(~hijinx~); addjestercard(~hijinx~);,,,,,,,,
Thief Deck,2 Pocket Knives[;]|2 Poison Needles[;]|2 Doppeldice and 3 Dicers|Finale Card: Thievery,2,,,,,GREEN,,,,,,,,excludefromrandomlists|finale,,,,var deleteindex = -1; for(i in 0...Deck.getcards(~all~).length) if(Deck.getcards(~all~)[i].equipment == e) {Deck.getcards(~all~)[i].equipment = new elements.Equipment(~Thievery~);} addjestercard(~pocket knife[]~); addjestercard(~pocket knife[]~); addjestercard(~poison needle~); addjestercard(~poison needle~); addjestercard(~doppeldice~); addjestercard(~doppeldice~); addjestercard (~dicer~); addjestercard(~dicer~); addjestercard(~dicer~);,,,,,,,,
Dаgger,Do [sword]<d6> damage|On Snap[;] get cursed|[gray](Reuseable),2,attack(d);,,MAX3,,RED,add1,complicate,,_damage,-1,,,,,,,,,,,,,inflictself(~curse~ | 99);,,
Grater,Shred dice[;] 33% chance|to take [sword]<d6> damage,2,givedice(split(d[;] rand([2[;] 3[;] 4]))[;] ~splitdice~); if (chance(33)) {attackself(d); sfxdamage(self[;] d);},,EVEN,,GREEN,change_power,change_power,,_metals,,YES,,,,,,,,,,,,,,
Grater_upgraded,Shred dice[;] 33% chance|to take [sword]<d6> damage,2,givedice(split(d[;] rand([2[;] 3[;] 4]))[;] ~splitdice~); if (chance(33)) {attackself(d); sfxdamage(self[;] d);},,MIN2,,GREEN,,,,_metals,,YES,,,,,,,,,,,,,,
Grater_downgraded,Shred dice[;] 66% chance|to take [sword]<d6> damage,2,givedice(split(d[;] rand([2[;] 3[;] 4]))[;] ~splitdice~); if (chance(66)) {attackself(d); sfxdamage(self[;] d);},,EVEN,,GREEN,,,,_metals,,YES,,,,,,,,,,,,,,
Random Deck,4 Robots[;] 2 Inventors|and 3 Inventor?s|Finale Card: Randomizer,2,,,,,WHITE,,,,,,,,excludefromrandomlists|finale,,,,var deleteindex = -1; for(i in 0...Deck.getcards(~all~).length) if(Deck.getcards(~all~)[i].equipment == e) {Deck.getcards(~all~)[i].equipment = new elements.Equipment(~Randomizer~);} addjestercard(~call for backup robot~); addjestercard(~call for backup robot~); addjestercard(~call for backup robot~); addjestercard(~call for backup robot~); addjestercard(~call for backup inventor~); addjestercard(~call for backup inventor~); addjestercard(~call for backup inventor?~); addjestercard(~call for backup inventor?~); addjestercard(~call for backup inventor?~);,,,,,,,,
Randomizer,Triple Seven|Get a random|upgraded item,2,/*$var eq = rand(getequipmentlist(null|[]|[~skillcard~|~excludefromrandomlists~|~robotonly~|~witchonly~|~onceperbattle~|~alternateversion~])); var modifier = ~~; replacemewith(eq + ~+~| -1);$*/,,,,WHITE,,,,,,YES,,excludefromrandomlists|powercard|finale,,,,,,,,,,,,
Tri Attack,Inflict [shock] shock[;]|[fire] burn[;] and [ice] freeze[;]|and do 1 damage of each,2,inflict(SHOCK); inflict(ICE); inflict(FIRE); attack(1 | FIRE); attack(1 | ICE); attack(1 | SHOCK);,,COUNTDOWN,12,YELLOW,change_power,change_power,,,,,,finale,,,,,,,,,,,,
Tri Attack_upgraded,Inflict [shock]2 shock[;]|[fire]2 burn[;] [ice]2 freeze[;]|and do 2 damage of each,2,inflict(SHOCK| 2); inflict(ICE| 2); inflict(FIRE| 2); attack(2 | FIRE); attack(2 | ICE); attack(2 | SHOCK);,,COUNTDOWN,12,YELLOW,,,,,,,,finale,,,,,,,,,,,,
Tri Attack_downgraded,Inflict [shock] shock[;]|[fire] burn[;] or [ice] freeze[;]|do 1 damage of that element,2,var randstatus = rand([SHOCK|FIRE|ICE]); inflict(randstatus|1); sfx(~_~ + randstatus.toLowerCase()|~~|0.2); attack(1 | randstatus);,,COUNTDOWN,12,YELLOW,,,,,,,,finale,,,,,,,,,,,,
Astonish,Inflict [vanish]vanish|and [weaken]2 weaken,2,inflict(~vanish~); inflict(WEAKEN | 2); sfx(~_vanish~);,,COUNTDOWN,12,PURPLE,threequartercountdown,noeffect,,_curse,,,,finale,,,,,,,,,,,,
Jinxploit,Do [sword]2 and heal|[heal]1 for each [jinx]jinx[;]|then return the dice,2,var jinxcount = getjinx(self) + getjinx(target); if(jinxcount == 0) { target.textparticle(~No effect!~); givedice(d); } else{ attack(jinxcount * 2); pierceattackself(-jinxcount); givedice(d); sfxdamage(target|jinxcount * 2); },,RANGE25,,PINK,change_power,change_power,,,,,,finale,,,,,,,,,,,,var jinxcount = getjinx(self) + getjinx(target); if(jinxcount == 0) { target.textparticle(~No effect!~); givedice(d); } else{ givedice(d); sfxdamage(target|jinxcount * 2); }
Jinxploit_upgraded,Do [sword]3 and heal|[heal]1 for each [jinx]jinx[;]|then return the dice,2,var jinxcount = getjinx(self) + getjinx(target); if(jinxcount == 0) { target.textparticle(~No effect!~); givedice(d); } else{ attack(jinxcount * 3); pierceattackself(-jinxcount); givedice(d); sfxdamage(target|jinxcount * 2); },,RANGE25,,PINK,,,,,,,,finale,,,,,,,,,,,,var jinxcount = getjinx(self) + getjinx(target); if(jinxcount == 0) { target.textparticle(~No effect!~); givedice(d); } else{ givedice(d); sfxdamage(target|jinxcount * 2); }
Jinxploit_downgraded,Do [sword]1 and heal|[heal]1 for each [jinx]jinx[;]|then return the dice,2,var jinxcount = getjinx(self) + getjinx(target); if(jinxcount == 0) { target.textparticle(~No effect!~); givedice(d); } else{ attack(jinxcount); pierceattackself(-jinxcount); givedice(d); sfxdamage(target|jinxcount * 2); },,RANGE25,,PINK,,,,,,,,finale,,,,,,,,,,,,var jinxcount = getjinx(self) + getjinx(target); if(jinxcount == 0) { target.textparticle(~No effect!~); givedice(d); } else{ givedice(d); sfxdamage(target|jinxcount * 2); }
Thievery,Phantom Theft|Borrow an upgraded item,2,//$var enemyequipment = []; for (eq in target.equipment){ if(!eq.hastag(~cannotsteal~)){ enemyequipment.push(eq);}} if(enemyequipment.length > 0){var randomequipment = rand(enemyequipment); replacemewith(randomequipment.name + ~+~); }$,,,,GREEN,,,,,,,,excludefromrandomlists|cannotsteal|powercard|finale,,,,,,,,,,,,
Final Guard,Block all damage for a turn[;]|become exhausted,2,inflictself(~blockall~); self.extradice--;,,COUNTDOWN,8,ORANGE,threequartercountdown,noeffect,,,,YES,,finale,,,,,,,,,,,,
Repeater,Do [sword]<d6> damage[;] repeat|for each countdown reduce|([fury]<evar:repeaterfury> total),2,attack(d); sfx(~_metals~); if (!simulation) {if (e.getvar(~repeaterfury~) > 0) {e.show = true; e.y = 720; e.doequipmentaction(self[;] target[;] (self.isplayer ? e.castdirection : (e.castdirection == 1 ? 0 : 1))[;] e.assigneddice); e.setvar(~repeaterfury~[;] e.getvar(~repeaterfury~) - 1);}},,MAX2,,RED,increaserange,decreaserange,,_damage,,,,,,e.setvar(~repeaterfury~[;] 0);,e.setvar(~repeaterfury~[;] 0);,e.setvar(~repeaterfury~[;] 0);,,,e.setvar(~repeaterfury~[;] e.getvar(~repeaterfury~) + 1);,,,,e.preventdefault = true; e.maintainfury = true;,
Void Cannon,Do [sword]8 damage for each|dice you are missing|Regain missing dice,2,var dmg = 0; if (self.extradice < 0) {dmg = 8 * -self.extradice; self.extradice = 0;} attack(dmg);,,EVEN,,PURPLE,change_power,complicate,,_damage,,,,,,,,,,,,,,,,
Void Cannon_upgraded,Do [sword]10 damage for each|dice you are missing|Regain missing dice,2,var dmg = 0; if (self.extradice < 0) {dmg = 10 * -self.extradice; self.extradice = 0;} attack(dmg);,,EVEN,,PURPLE,,,,_damage,,,,,,,,,,,,,,,,
Antimatter,-1 dice to self|this battle,2,if (simulation) {bonus(-1000);} else {self.extradice--; if ((self.dice + self.extradice) < 0) self.extradice = 1 - self.dice;},,ODD,,PURPLE,simplify,complicate,,_curse,,YES,,,,,,,,,,,,,,
Thruster,Reduce countdowns by 5,2,boostcountdowns(5);,,COUNTDOWN,3,RED,change_power,change_power,,useitem,,YES,,,,,,,,,,,,,,
Thruster_upgraded,Reduce countdowns by 6,2,boostcountdowns(6);,,COUNTDOWN,3,RED,,,,useitem,,YES,,,,,,,,,,,,,,
Thruster_downgraded,Reduce countdowns by 3,2,boostcountdowns(3);,,COUNTDOWN,3,RED,,,,useitem,,YES,,,,,,,,,,,,,,
Energy Drink,Boost Limit Break|by 75%,2,self.limitvalue += self.limitmax * 0.75; if (self.limitvalue > self.limitmax) self.limitvalue = self.limitmax;,,COUNTDOWN,12,YELLOW,threequartercountdown,change_power,,_cure,,YES,,,,,,,,,,,,,,
Energy Drink_downgraded,Boost Limit Break|by 50%,2,self.limitvalue += self.limitmax * 0.5; if (self.limitvalue > self.limitmax) self.limitvalue = self.limitmax;,,COUNTDOWN,12,YELLOW,,,,_cure,,YES,,,,,,,,,,,,,,
Accumulator,Do [sword]<d6> damage[;] triple|if limit is ready,2,var dmg = d; if (self.limitready()) dmg *= 3; attack(dmg);,,MAX3,,YELLOW,increaserange,decreaserange,,_damage,,,,,,,,,,,,,,,,
Armor Shard,Gain [thorns]<d6> thorns,2,inflictself(THORNS[;] d);,,MAX4,,GREEN,increaserange,complicate,,_thorns,,YES,,,,,,,,,,,,,,
Magnet,Do [sword]<d6> damage[;] return the|dice if 1 left this fight,2,attack(d); if ((self.dice + self.extradice) == 1) givedice(d);,,MAX5,,PURPLE,simplify,complicate,,_damage,,,,,,,,,,,,,,,,
Duplicake,Duplicate a dice|Recover [heal]2 health,2,givedice([d[;] d]); attackself(-2);,,MIN5,,GREEN,increaserange,decreaserange,,_heal,,YES,,,,,,,,,,,,,,
Lights Out,-1 dice to both|(1 minimum),2,if (!simulation) {if ((self.dice + self.extradice) > 1) self.extradice--; if ((target.dice + target.extradice) > 1) target.extradice--;} else bonus(500);,,DOUBLES|DOUBLES,,PURPLE,change_requirements,change_power,,_blind,,YES,,,,,,,,,,,,,,
Lights Out_upgraded,-1 dice to both|(1 minimum),2,if (!simulation) {if ((self.dice + self.extradice) > 1) self.extradice--; if ((target.dice + target.extradice) > 1) target.extradice--;} else bonus(500);,,COUNTDOWN,10,PURPLE,,,,_blind,,YES,,,,,,,,,,,,,,
Lights Out_downgraded,-1 dice to both|(1 minimum),2,if (!simulation) {if ((self.dice + self.extradice) > 1) self.extradice--; if ((target.dice + target.extradice) > 1) target.extradice--;} else bonus(500);,,REQUIRE6|REQUIRE6,,PURPLE,,,,_blind,,YES,,,,,,,,,,,,,,
Reload,Reduce countdowns by 3|[gray](Reuseable),2,boostcountdowns(3);,,NORMAL,,GREEN,change_power,complicate,,useitem,2,YES,,,,,,,,,,,,,,
Reload_upgraded,Reduce countdowns by 3|[gray](Reuseable),2,boostcountdowns(3);,,NORMAL,,GREEN,,,,useitem,3,YES,,,,,,,,,,,,,,
Special Attack,Do [sword]12 damage|if limit is ready,2,if (self.limitready()) {attack(12); sfxdamage(target[;] 12);} else {target.textparticle(~No effect!~); sfx(~_dodge~);},,COUNTDOWN,7,YELLOW,halfcountdown,change_power,,,,,,,,,,,,,,,,,,
Special Attack_downgraded,Do [sword]6 damage|if limit is ready,2,if (self.limitready()) {attack(6); sfxdamage(target[;] 6);} else {target.textparticle(~No effect!~); sfx(~_dodge~);},,COUNTDOWN,7,YELLOW,,,,,,,,,,,,,,,,,,,,
Spiky Armor,Block [shield]<d6> damage|Gain [thorns]1 thorns,2,inflictself(SHIELD[;] d); inflictself(THORNS[;] 1);,,MAX3,,ORANGE,change_power,change_power,,_shield,,YES,,,,,,,,,,,,,,
Spiky Armor_upgraded,Block [shield]<d6> damage|Gain [thorns]2 thorns,2,inflictself(SHIELD[;] d); inflictself(THORNS[;] 2);,,MAX3,,ORANGE,,,,_shield,,YES,,,,,,,,,,,,,,
Spiky Armor_downgraded,Block [shield]<d6> damage,2,inflictself(SHIELD[;] d);,,MAX3,,ORANGE,,,,_shield,,YES,,,,,,,,,,,,,,
Judgenudge,Dice value -1|[curse]Curse on 1,2,if (d > 1) givedice(d - 1); if (d == 1) {inflict(CURSE); bonus(500); sfx(~_curse~[;] ~~[;] 0.2);},,NORMAL,,PURPLE,change_power,change_power,,,,,,,,,,,,,,,,,,
Judgenudge_upgraded,Dice value -1|[curse]Curse on 6,2,if (d > 1) givedice(d - 1); if (d == 6) {inflict(CURSE); bonus(500); sfx(~_curse~[;] ~~[;] 0.2);},,NORMAL,,PURPLE,,,,,,,,,,,,,,,,,,,,
Judgenudge_downgraded,Dice value -1,2,if (d > 1) givedice(d - 1);,,NORMAL,,PURPLE,,,,,,,,,,,,,,,,,,,,
Stunula,Flip a dice upside down|[shock]Shocks the enemy on 6,2,givedice(7 - d); if (d == 6) {inflict(SHOCK); sfx(~_shock~);},,NORMAL,,YELLOW,change_power,change_power,,,,YES,,,,,,,,,,,,,,
Stunula_upgraded,Flip a dice upside down|[shock]Shocks the enemy on 1,2,givedice(7 - d); if (d == 1) {inflict(SHOCK); sfx(~_shock~);},,NORMAL,,YELLOW,,,,,,YES,,,,,,,,,,,,,,
Stunula_downgraded,Flip a dice upside down,2,givedice(7 - d);,,NORMAL,,YELLOW,,,,,,YES,,,,,,,,,,,,,,
Bumpspade,Dice value +1|[weaken]Weaken on 1,2,givedice(d + 1); if (d == 1) {inflict(WEAKEN); sfx(~_weaken~[;] ~~[;] 0.2);},,NORMAL,,ORANGE,change_power,change_power,,,,,,,,,,,,,,,,,,
Bumpspade_upgraded,Dice value +1|[weaken]Weaken on 6,2,givedice(d + 1); if (d == 6) {inflict(WEAKEN); sfx(~_weaken~[;] ~~[;] 0.2);},,NORMAL,,ORANGE,,,,,,,,,,,,,,,,,,,,
Bumpspade_downgraded,Dice value +1,2,givedice(d + 1);,,NORMAL,,ORANGE,,,,,,YES,,,,,,,,,,,,,,
